 
================================================================================
                                                                                
               fso-data-check utility for TIO data @ fso                  
                       Release 20190721-0931                                    
                                                                                
20190913 20:30:02 : Checking the fits file numbers & size                    
                    @ /cygdrive/e/20190913/TIO                                                     
                    Please wait...                                              
                    Press ctrl-c to break!                                      
                                                                                
================================================================================
 
20190913 20:34:48: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:49: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:50: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:51: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:52: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:53: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:54: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:55: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:56: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:57: Getting TIO fits file(s) info, Please Wait...   
20190913 20:34:58: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:00: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:01: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:02: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:03: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:04: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:05: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:06: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:07: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:08: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:09: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:10: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:11: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:12: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:13: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:14: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:15: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:17: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:18: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:19: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:20: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:21: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:22: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:23: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:24: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:25: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:26: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:27: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:28: Getting TIO fits file(s) info, Please Wait...   
20190913 20:35:29: Getting TIO fits file(s) info, Please Wait...   
